lat,lon,name,category,address
13.1023588,80.2765358,Krishna Mansion,Residential Apartment,", Chennai"
13.1023673,80.2766247,Unnamed Apartment,Apartment Complex,", Chennai"
13.1019142,80.2762188,Ratna Ganga,Residential Apartment,", Chennai"
13.1018345,80.276223,Mannat,Residential Apartment,", Chennai"
13.1011132,80.2760528,Unnamed Apartment,Apartment Complex,", Chennai"
13.1009393,80.2760346,Unnamed Apartment,Apartment Complex,", Chennai"
13.1007632,80.2760262,Unnamed Apartment,Apartment Complex,", Chennai"
13.1008945,80.2757304,Unnamed Apartment,Apartment Complex,", Chennai"
13.1024067,80.2776456,Guru Shanti B,Residential Apartment,", Chennai"
13.1023923,80.277467,Guru Shanti A,Residential Apartment,", Chennai"
13.0196926,80.2314252,Unnamed Apartment,Apartment Complex,", Chennai"
13.0192638,80.2308891,Unnamed Apartment,Apartment Complex,", Chennai"
13.0188143,80.2305388,Unnamed Apartment,Apartment Complex,", Chennai"
13.0204386,80.231645,Unnamed Apartment,Apartment Complex,", Chennai"
13.0206686,80.2309931,Unnamed Apartment,Apartment Complex,", Chennai"
13.0207306,80.2317513,Unnamed Apartment,Apartment Complex,", Chennai"
13.0209709,80.2311074,Unnamed Apartment,Apartment Complex,", Chennai"
13.0210511,80.2318746,Unnamed Apartment,Apartment Complex,", Chennai"
13.0212695,80.2312474,Unnamed Apartment,Apartment Complex,", Chennai"
13.0215581,80.2322635,Unnamed Apartment,Apartment Complex,", Chennai"
13.0231579,80.2299674,Unnamed Apartment,Apartment Complex,", Chennai"
13.022521,80.232419,Unnamed Apartment,Apartment Complex,", Chennai"
13.0223215,80.2327739,Unnamed Apartment,Apartment Complex,", Chennai"
13.0220459,80.2326616,Unnamed Apartment,Apartment Complex,", Chennai"
13.0223597,80.2321202,Unnamed Apartment,Apartment Complex,", Chennai"
13.0227603,80.2320458,Unnamed Apartment,Apartment Complex,", Chennai"
13.0223543,80.2316024,Unnamed Apartment,Apartment Complex,", Chennai"
13.0226161,80.231756,Unnamed Apartment,Apartment Complex,", Chennai"
13.0229079,80.2313014,Unnamed Apartment,Apartment Complex,", Chennai"
13.0234442,80.2307915,Unnamed Apartment,Apartment Complex,", Chennai"
