lat,lon,name,specialization,address
12.9474366,80.1690206,English Electric Nagar 13th Street,Electrical Components & Wiring,", Chennai"
12.9480895,80.169087,English Electric Nagar 14th Street,Electrical Components & Wiring,", Chennai"
12.9465707,80.1701428,English Electric Nagar 20th Street,Electrical Components & Wiring,", Chennai"
12.9475644,80.171005,English Electric Nagar 21st Street,Electrical Components & Wiring,", Chennai"
12.9482351,80.1703068,English Electric Nagar 16th Street,Electrical Components & Wiring,", Chennai"
12.9474106,80.170223,English Electric Nagar 18th Street,Electrical Components & Wiring,", Chennai"
12.9469974,80.1701834,English Electric Nagar 19th Street,Electrical Components & Wiring,", Chennai"
12.94986,80.1680438,English Electric Nagar 33rd Street,Electrical Components & Wiring,", Chennai"
12.9502608,80.1681069,English Electric Nagar 32nd Street,Electrical Components & Wiring,", Chennai"
12.9505791,80.1680502,English Electric Nagar 31st Street,Electrical Components & Wiring,", Chennai"
13.089234,80.2811096,Tamil Nadu Electric Palace,Electrical Components & Wiring,", Chennai"
13.1059081,80.280433,Vallalar Nagar Bus Terminal,Switches & Connectors,", Chennai"
12.9510755,80.1687144,English Electric Nagar 1st Street,Electrical Components & Wiring,", Chennai"
12.9480519,80.1686619,English Electric Nagar 1st Main Road,Electrical Components & Wiring,", Chennai"
12.978749,80.1600272,Terminal Link Road,Switches & Connectors,", Chennai"
12.9784611,80.160182,Terminal Link Road,Switches & Connectors,", Chennai"
12.9508965,80.168019,English Electric Nagar 2nd Street,Electrical Components & Wiring,", Chennai"
13.0221206,80.1228223,266: Tambaram -> Avadi Terminal,Switches & Connectors,", Chennai"
