objectid,x,y,lgd_state_,lgd_distri,pincode,schcd,schname,schmgt,schcat,schtype,rururb,school_cat,school_typ,stcode11,dtcode11,sdtcode11,sdtname,subdt_lgd,vilcode11,stname,dtname,vilname,management,location
90062,8928398.461,1463444.6499023438,33,568,600078,33020900206,ALL ANGELS MATRIC HSS,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
90333,8928931.235900879,1463953.1231079102,33,568,600083,33020801218,KENDRIYA VIDYALAYA K.K. NAGAR ASHOK NAGAR (Code-1768),92,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Kendriya Vidyalaya(KV),Urban
90371,8928775.388671875,1464012.3123168943,33,568,600083,33020801223,SHANGRI LA NURSERY,5,12,3,2,Pre-Primary Only,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
90427,8928788.301696777,1464142.4603271484,33,568,600083,33020801220,VELANKANNI MATRIC HSS ASHOK NAGAR,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
90442,8928857.319702148,1464183.7100830078,33,568,600083,33020801214,CHENNAI HIGH SCHOOL KANNIYAPPA NAGAR,3,7,3,2,Upper Pr. and Secondary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Local Body,Urban
90453,8928791.641296387,1464188.2807006836,33,568,600083,33020801406,DR. K.K. NIRMALA GIRLS HSS,4,5,2,2,Up. Pr. Secondary and Higher Sec,Girls,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Government Aided,Urban
90475,8928870.678100586,1464253.4122924805,33,568,600083,33020801402,CPS ASHOK NAGAR,3,1,3,2,Primary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Local Body,Urban
90570,8928682.548278809,1464449.9503173828,33,568,600078,33020900103,SRI KANAGAMBIGAI N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
90571,8928900.4,1464457.3776855469,33,568,600083,33020801405,STELLA MATRIC SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
90622,8928815.240905762,1464601.5827026367,33,568,600078,33020801123,RESERVE BANK QUARTER'S N & P,5,1,3,2,Primary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
90623,8928546.293,1464601.9254760742,33,568,600078,33020900104,ST.ANTONY`S N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
90708,8928971.978881836,1464861.313293457,33,568,600078,33020801122,Kalaivani N&P school,5,1,3,2,Primary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
90784,8928353.042480469,1465039.5725097656,33,568,600026,33020801823,RAMALINGA MISSION MIDDLE SCH,4,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Government Aided,Urban
90791,8929077.287109375,1465065.168884277,33,568,600026,33020801108,SHAKESPEARE MATRIC SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
